,StationID,StationName,Latitude,Longitude,Suburb,Road,Neighborhood
541,3413.0,Wyckoff St & 3 Ave,40.6828,-73.9826,Brooklyn,Wyckoff Street,Boerum Hill
542,3414.0,Bergen St & Flatbush Ave,40.6809,-73.9757,Brooklyn,Bergen Street,Park Slope
543,3415.0,Prospect Pl & 6 Ave,40.6793,-73.9752,Brooklyn,Prospect Place,Park Slope
544,3416.0,7 Ave & Park Pl,40.6776,-73.9732,Brooklyn,Park Place,Park Slope
545,3417.0,Baltic St & 5 Ave,40.6796,-73.9785,Brooklyn,5th Avenue,Park Slope
546,3418.0,Plaza St West & Flatbush Ave,40.675,-73.9711,Brooklyn,Plaza Street West,Park Slope
547,3419.0,Douglass St & 4 Ave,40.6793,-73.9815,Brooklyn,4th Avenue,
548,3420.0,Douglass St & 3 Ave,40.6802,-73.9843,Brooklyn,Douglass Street,
549,3422.0,Columbia St & Degraw St,40.6859,-74.0024,Brooklyn,Columbia Street Greenway,
550,3423.0,West Drive & Prospect Park West,40.6611,-73.9795,Brooklyn,Prospect Park West,Park Slope
551,3424.0,E 106 St & Lexington Ave,40.792,-73.946,,East 106th Street,East Harlem
552,3425.0,2 Ave & E 104 St,40.7892,-73.9437,,East 104th Street,East Harlem
553,3427.0,Lafayette St & Jersey St,40.7243,-73.996,,Lafayette Street,Little Italy
554,3429.0,Hanson Pl & Ashland Pl,40.6851,-73.9779,Brooklyn,Hanson Place,Fort Greene
555,3430.0,Richardson St & N Henry St,40.7191,-73.9422,Brooklyn,Richardson Street,
556,3434.0,W 88 St & West End Ave,40.7903,-73.9772,Manhattan,West 88th Street,
557,3435.0,Grand St & Elizabeth St,40.7188,-73.996,,Grand Street,Little Italy
558,3437.0,Riverside Dr & W 91 St,40.7931,-73.977,Manhattan,Riverside Drive,
559,3440.0,Fulton St & Adams St,40.6924,-73.9895,Brooklyn,Joralemon Street,Downtown Brooklyn
560,3441.0,10 Hudson Yards,40.753,-74.0026,,West 24th Street,Chelsea District
561,3443.0,W 52 St & 6 Ave,40.7613,-73.9798,,,Theater District
562,3449.0,Eckford St & Engert Ave,40.7215,-73.948,Brooklyn,Eckford Street,
563,3452.0,Bayard St & Leonard St,40.7192,-73.9489,Brooklyn,Bayard Street,
564,3453.0,Devoe St & Lorimer St,40.7134,-73.9491,Brooklyn,Devoe Street,
565,3454.0,Leonard St & Maujer St,40.7104,-73.9471,Brooklyn,Leonard Street,
566,3456.0,Jackson St & Leonard St,40.7164,-73.9482,Brooklyn,Leonard Street,
567,3459.0,E 53 St & 3 Ave,40.7576,-73.9693,,East 53rd Street,Turtle Bay
568,3461.0,Murray St & Greenwich St,40.7149,-74.0112,,Murray Street,Tribeca
569,3463.0,E 16 St & Irving Pl,40.7354,-73.988,,East 16th Street,Manhattan Community Board 5
570,3467.0,W Broadway & Spring Street,40.7249,-74.0017,,West Broadway,SoHo
571,3469.0,India St & West St,40.7318,-73.96,Brooklyn,India Street,
572,3472.0,W 15 St & 10 Ave,40.7428,-74.0075,,West 24th Street,Chelsea District
573,3477.0,39 St & 2 Ave - Citi Bike HQ at Industry City,40.6554,-74.0106,Brooklyn,39th Street,Sunset Park
574,3478.0,2 Ave & 36 St - Citi Bike HQ at Industry City,40.6571,-74.0087,Brooklyn,2nd Avenue,
575,3479.0,Picnic Point,40.6851,-74.0254,Manhattan,Craig Road South,
576,3483.0,Montgomery St,40.7194,-74.051,,Monmouth Street,
577,3486.0,Schermerhorn St & Bond St,40.6884,-73.9845,Brooklyn,Schermerhorn Street,
578,3490.0,E 116 St & 2 Ave,40.7969,-73.9373,,East 116th Street,East Harlem
579,3491.0,E 118 St & 1 Ave,40.7975,-73.935,,East 118th Street,East Harlem
580,3492.0,E 118 St & Park Ave,40.8005,-73.942,,East 118th Street,East Harlem
581,3493.0,E 118 St & 3 Ave,40.7991,-73.9389,,East 118th Street,East Harlem
582,3494.0,E 115 St & Lexington Ave,40.7979,-73.9423,,East 115th Street,East Harlem
583,3495.0,E 114 St & 1 Ave,40.7946,-73.9363,,East 114th Street,East Harlem
584,3496.0,1 Ave & E 110 St,40.7923,-73.9383,,East 110th Street,East Harlem
585,3497.0,Pleasant Ave & E 116 St,40.795,-73.9333,,Pleasant Avenue,East Harlem
586,3498.0,Pleasant Ave & E 120 St,40.7975,-73.9312,,East 120th Street,East Harlem
587,3499.0,2 Ave & E 122 St,40.8007,-73.9349,,2nd Avenue,East Harlem
588,3500.0,E 115 St & Madison Ave,40.7989,-73.9448,,East 115th Street,East Harlem
589,3501.0,E 118 St & Madison Ave,40.8015,-73.9443,,East 118th Street,East Harlem
590,3502.0,Lexington Ave & E 111 St,40.7954,-73.9441,,East 110th Street,East Harlem
591,3503.0,Madison Ave & E 120 St,40.803,-73.943,,Madison Avenue,East Harlem
592,3504.0,E 123 St & Lexington Ave,40.8029,-73.9379,,East 123rd Street,East Harlem
593,3505.0,Lexington Ave & E 127 St,40.8057,-73.9363,,Lexington Avenue,East Harlem
594,3506.0,Lexington Ave & E 120 St,40.8013,-73.9398,Manhattan,Lexington Avenue,
